"status_id","created_at","user_id","screen_name","text","source","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","retweet_status_id","retweet_text","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x966386343524827136",2018-02-21 18:57:13,"x1058051748","TXRandy14","The Rev. Billy Graham was an icon. He once said ""My home is in Heaven. I'm just traveling through this world."" The Reverend has made it home. Today, we mourn the loss of a good and faithful servant. Our hearts are with the Graham family. May GOD grant eternal rest unto his soul.","Twitter for iPhone",,,,FALSE,FALSE,11,6,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x965746919468388352",2018-02-20 00:36:22,"x1058051748","TXRandy14","Since 1885, Presidents' Day has been recognized across our nation. Today, we honor &amp; remember the service and leadership of all who served as President of the United States, beginning with President George Washington himself. Happy Presidents’ Day, y'all!","Twitter Web Client",,,,FALSE,FALSE,15,7,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x964506998355234816",2018-02-16 14:29:22,"x1058051748","TXRandy14","Joining @kilmeade for his radio show this morning. Tune in at 9:20 a.m. Texas Time! Listen live at - https://t.co/OU7Azw9I97","Twitter Web Client",,,,FALSE,FALSE,28,8,,,"radio.foxnews.com/fox-news-talk/…","https://t.co/OU7Azw9I97","http://radio.foxnews.com/fox-news-talk/brian-kilmeade/",,,,,,,,,"x43919633","kilmeade","en",,,,,,,,,,,,,
"x963982722913001473",2018-02-15 03:46:05,"x1058051748","TXRandy14","Devastating news out of Parkland, Florida. Please join me in praying for the victims and their families, and the entire Parkland community - all of whom are grieving in the aftermath of this afternoon’s events.","Twitter for iPhone",,,,FALSE,FALSE,12,5,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x963852266955595778",2018-02-14 19:07:42,"x1058051748","TXRandy14","43 years my valentine - Happy Valentine's Day, Brenda Gail! https://t.co/g8gAp3uzNc","Twitter Web Client",,,,FALSE,FALSE,42,9,,,,,,"http://pbs.twimg.com/media/DWBKIRuXcAECYAR.jpg","https://t.co/g8gAp3uzNc","https://twitter.com/TXRandy14/status/963852266955595778/photo/1","photo","http://pbs.twimg.com/media/DWBKIRuXcAECYAR.jpg","https://t.co/g8gAp3uzNc","https://twitter.com/TXRandy14/status/963852266955595778/photo/1",,,,"en",,,,,,,,,,,,,
"x963534320286752768",2018-02-13 22:04:18,"x1058051748","TXRandy14","On the floor now, debating my bill H.R. 4378!  The research reactor, or Versatile Neutron Source, authorized in that bill is crucial for the development of advanced reactor designs, materials, and nuclear fuels.","Twitter Web Client",,,,FALSE,FALSE,19,12,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x961332857863135233",2018-02-07 20:16:28,"x1058051748","TXRandy14","Minority Leader Pelosi appears to be attempting to filibuster on the House Floor. Trying to derail the budget deal? If she is successful in her endeavor &amp; Govt shuts down: instead of another Schumer Shutdown; it will be SchumerShutdown2 aka: #PelosiPlunder","Twitter for iPhone",,,,FALSE,FALSE,11,11,"PelosiPlunder",,,,,,,,,,,,,,,"en",,,,,"https://api.twitter.com/1.1/geo/id/01fbe706f872cb32.json","Washington","Washington, DC","city","United States","US",,,"-77.119401 -76.909396 -76.909396 -77.119401 38.801826 38.801826 38.9953797 38.9953797"
"x961238453290758144",2018-02-07 14:01:20,"x1058051748","TXRandy14","I hear that Jimmy Morales: President of Guatemala is following our great Pres Trump’s lead &amp; recognizing Jerusalem as the Capitol of Israel. Bravo for him! Would that other countries’ leaders have same fortitude! Thank You President Trump for your leadership! #therealdonaldtrump","Twitter for iPhone",,,,FALSE,FALSE,9,5,"therealdonaldtrump",,,,,,,,,,,,,,,"en",,,,,"https://api.twitter.com/1.1/geo/id/01fbe706f872cb32.json","Washington","Washington, DC","city","United States","US",,,"-77.119401 -76.909396 -76.909396 -77.119401 38.801826 38.801826 38.9953797 38.9953797"
"x960994419825573894",2018-02-06 21:51:38,"x1058051748","TXRandy14","“Freedom is never more than one generation away from extinction. We didn't pass it to our children in the bloodstream. It must be fought for, protected, and handed on for them to do the same.”
Wise words... Ronald Reagan would have turned 107 today. Happy birthday, Gipper!","Twitter Web Client",,,,FALSE,FALSE,108,40,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x960987318680260608",2018-02-06 21:23:25,"x1058051748","TXRandy14","D’s are at it again! Are we about to witness another Schumer Shutdown? #SchumerShutdown-V2.0","Twitter for iPhone",,,,FALSE,FALSE,10,10,"SchumerShutdown",,,,,,,,,,,,,,,"en",,,,,"https://api.twitter.com/1.1/geo/id/01fbe706f872cb32.json","Washington","Washington, DC","city","United States","US",,,"-77.119401 -76.909396 -76.909396 -77.119401 38.801826 38.801826 38.9953797 38.9953797"
